CODIGO;NOMBRE;CATEGORIA;TECNOLOGIA;ALTITUD;LATITUD;LONGITUD;DEPARTAMENTO;MUNICIPIO;AREA_HIDROGRAFICA;ZONA_HIDROGRAFICA;SUBZONA_HIDROGRAFICA
32067020;LEJANIAS [32067020];Limnigráfica;Convencional;707;3.5333333330;-74.0166666670;Meta;Lejanías;Orinoco;Guaviare;Río Ariari
32067030;PUERTO ANGOSTURAS  - AUT [32067030];Limnigráfica;Automática con Telemetría - Convencional;660;3.792430;-73.923080;Meta;Cubarral;Orinoco;Guaviare;Río Ariari
32070010;CAMPO ALEGRE [32070010];Pluviométrica;Convencional;321;3.377590;-73.876940;Meta;Vistahermosa;Orinoco;Guaviare;Río Ariari
32070020;CAÑO BLANCO [32070020];Pluviométrica;Convencional;261;3.3185;-73.529080;Meta;Puerto Lleras;Orinoco;Guaviare;Río Ariari
32070030;LOS MICOS [32070030];Pluviométrica;Convencional;352;3.252210;-73.813110;Meta;San Juan De Arama;Orinoco;Guaviare;Río Guejar
32070040;PIÑALITO [32070040];Pluviométrica;Convencional;246;2.976190;-73.675010;Meta;Vistahermosa;Orinoco;Guaviare;Río Guejar
32070050;PUERTO LLERAS [32070050];Pluviométrica;Convencional;245;3.2833333330;-73.38333333;Meta;Puerto Lleras;Orinoco;Guaviare;Río Ariari
32070060;FUENTE DE ORO [32070060];Pluviométrica;Convencional;300;3.4666666670;-73.63333333;Meta;Fuente De Oro;Orinoco;Guaviare;Río Ariari
32070080;TIERRA GRATA [32070080];Pluviométrica;Convencional;191;3.0875;-73.22638889;Meta;Puerto Lleras;Orinoco;Guaviare;Río Ariari
32070090;PEÑAS BLANCAS [32070090];Pluviométrica;Convencional;354;3.256220;-73.906150;Meta;San Juan De Arama;Orinoco;Guaviare;Río Guejar
32070100;SAN JUAN DE ARAMA [32070100];Pluviométrica;Convencional;454;3.377590;-73.876940;Meta;San Juan De Arama;Orinoco;Guaviare;Río Guejar
32070110;AGUAS CLARAS [32070110];Pluviométrica;Convencional;426;3.470710;-73.861850;Meta;Granada;Orinoco;Guaviare;Río Ariari
32070120;MESA DE FERNANDEZ [32070120];Pluviométrica;Convencional;882;3.456560;-74.029970;Meta;San Juan De Arama;Orinoco;Guaviare;Río Guejar
32075010;NARANJOS LOS [32075010];Climática Ordinaria;Convencional;220;3.4666666670;-73.71666667;Meta;Granada;Orinoco;Guaviare;Río Ariari
32075020;PUERTO LIMON [32075020];Climática Ordinaria;Convencional;255;3.3666666670;-73.50;Meta;Fuente De Oro;Orinoco;Guaviare;Río Ariari
32075030;VISTA HERMOSA [32075030];Climática Ordinaria;Convencional;325;3.1203888890;-73.75402778;Meta;Vistahermosa;Orinoco;Guaviare;Río Ariari
32075040;LA HOLANDA [32075040];Climática Ordinaria;Convencional;360;3.5163333330;-73.71602778;Meta;Granada;Orinoco;Guaviare;Río Ariari
32075050;MESETAS [32075050];Climática Ordinaria;Convencional;556;3.380080;-74.0430;Meta;Mesetas;Orinoco;Guaviare;Río Guejar
32075060;COOPERATIVA LA [32075060];Climática Ordinaria;Convencional;280;3.3666666670;-73.70;Meta;Fuente De Oro;Orinoco;Guaviare;Río Ariari
32075080;PUERTO LLERAS [32075080];Climática Ordinaria;Convencional;245;3.2676944440;-73.37319444;Meta;Puerto Lleras;Orinoco;Guaviare;Río Ariari
32077010;PUENTE CARRETERA [32077010];Limnimétrica;Convencional;360;3.4166666670;-73.78333333;Meta;Granada;Orinoco;Guaviare;Río Ariari
32077020;PUENTE CARRETERA [32077020];Limnimétrica;Convencional;320;3.4833333330;-73.73333333;Meta;Granada;Orinoco;Guaviare;Río Ariari
32077030;PUENTE CARRETERA [32077030];Limnimétrica;Convencional;360;3.4166666670;-73.78333333;Meta;Granada;Orinoco;Guaviare;Río Ariari
32077040;PUENTE CARRETERA [32077040];Limnimétrica;Convencional;327;3.45;-73.75;Meta;Granada;Orinoco;Guaviare;Río Ariari
32077050;PUENTE CARRETERA [32077050];Limnimétrica;Convencional;348;3.4333333330;-73.78333333;Meta;Granada;Orinoco;Guaviare;Río Ariari
32077060;PUERTO LLERAS [32077060];Limnimétrica;Convencional;238;3.2666666670;-73.38333333;Meta;Puerto Lleras;Orinoco;Guaviare;Río Ariari
32077070;PIÑALITO [32077070];Limnimétrica;Convencional;230;2.975480;-73.676730;Meta;Vistahermosa;Orinoco;Guaviare;Río Guejar
32077080;PUERTO RICO [32077080];Limnimétrica;Convencional;199;2.94;-73.21;Meta;Puerto Rico;Orinoco;Guaviare;Río Ariari
32077100;PEÑAS BLANCAS [32077100];Limnimétrica;Convencional;347;3.2559;-73.905720;Meta;San Juan De Arama;Orinoco;Guaviare;Río Guejar
32077110;EL LIMON[32077110];Limnimétrica;Convencional;506;3.369080;-74.029670;Meta;San Juan De Arama;Orinoco;Guaviare;Río Guejar
32080010;PUERTO RICO [32080010];Pluviométrica;Convencional;230;2.94;-73.21;Meta;Puerto Rico;Orinoco;Guaviare;Río Ariari
32080020;PISTA LA [32080020];Pluviométrica;Convencional;300;3.15;-72.96666667;Meta;Puerto Lleras;Orinoco;Meta;Río Manacacias
32080040;PORORIO EL [32080040];Pluviométrica;Convencional;235;2.8333333330;-72.80933333;Meta;Puerto Concordia;Orinoco;Guaviare;Río Ariari
32087030;TEJA ROJA [32087030];Limnimétrica;Convencional;220;2.90;-72.90;Meta;Puerto Rico;Orinoco;Guaviare;Río Ariari
32087040;CANDILEJAS [32087040];Limnigráfica;Convencional;184;2.8333333330;-73.08333333;Meta;Puerto Rico;Orinoco;Guaviare;Río Ariari
32095010;VIENTO EL [32095010];Climática Ordinaria;Convencional;295;3.20;-72.68333333;Meta;Mapiripán;Orinoco;Meta;Río Manacacias
32097010;MAPIRIPAN [32097010];Limnimétrica;Convencional;158;2.8897222220;-72.13011111;Meta;Mapiripán;Orinoco;Guaviare;Medio Guaviare
32100010;BOLIVIA LA [32100010];Pluviométrica;Convencional;250;2.5666666670;-72.63333333;Guaviare;San José Del Guaviare;Orinoco;Guaviare;Medio Guaviare
32105010;PUERTO ARTURO [32105010];Climática Principal;Convencional;210;2.5833333330;-72.78333333;Guaviare;San José Del Guaviare;Orinoco;Guaviare;Alto Guaviare
32105060;MUCUARE [32105060];Climática Ordinaria;Convencional;146;2.8666666670;-71.5333333330;Guaviare;San José Del Guaviare;Orinoco;Guaviare;Medio Guaviare
32105080;SAN JOSE DEL GUAVIARE [32105080];Agrometeorológica;Automática con Telemetría - Convencional;165;2.5499997220;-72.65;Guaviare;San José Del Guaviare;Orinoco;Guaviare;Medio Guaviare
32107010;PUERTO ARTURO [32107010];Limnimétrica;Convencional;1745;2.5688888890;-72.7511111110;Guaviare;San José Del Guaviare;Orinoco;Guaviare;Medio Guaviare
32107020;MUCUARE [32107020];Limnimétrica;Convencional;146;2.8666666670;-71.53333333;Guaviare;San José Del Guaviare;Orinoco;Guaviare;Medio Guaviare
32107030;SAN JOSE GUAVIARE [32107030];Limnimétrica;Convencional;172;2.5734444440;-72.63791667;Guaviare;San José Del Guaviare;Orinoco;Guaviare;Medio Guaviare
